	lon	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	gntKU	ivbL_ilvBN	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	tsx	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	uhpT	caiF
lon	0.0	0.31730007993154524	0.364238427353645	0.3142485490072034	0.3482380201815122	0.41965192469669066	0.22959862864960576	0.2637883480346791	0.243606351272016	0.0	0.0	0.09755493455932479	0.20274912616681454	0.0	0.31670397595515865	0.005933453100298501	0.002180119868352254	0.06805783500197328	0.0664873471844761	0.0	0.4713479165780679	0.018535836287968396	0.11784223072203415	0.01310089475751556	0.13330375217740648	0.0	0.0	0.0	0.0	0.17718306392587882	0.0921985000839008	0.061626727714794896	0.1979115366122602	0.0	0.0	0.0	0.1000274756076866	0.0	0.0	0.26802010088418393	0.0	0.0	0.04791318081243245	0.0	0.052653749781501724	0.005201191330611196	0.3371348238795337	0.21595496092233113	0.04715559884547932	0.10615704183644686	0.0	0.4264316622602966	0.0	0.0	0.11447093107209587	0.25618377803764836	0.0	0.03660458687151107	0.1495783876223944	0.13888433877235637	0.2933702258663972	0.27414495899361463	0.066554769445769	0.0	0.10589318730414783	0.0045210580947767755	0.0	0.03480642571593462	0.0	0.07328959055428425	0.039820534908823396	0.0	0.3237373735989361	0.45472232633135934	0.0	0.11041372791520658	0.0	0.06953159293731359	0.11856975150717906	0.09843233060467736	0.1296816354743764	0.6466530875968279	0.10695362949299415	0.5029174045578253	0.11784223072203415	0.281674889003838	0.0	0.0	0.09146616238054668	0.03727440137448257	0.4076603883480367	0.0	0.07058744590569607	0.0	0.012443617658934427	0.47670878981403986	0.2536253266017345	0.20765339636965602	0.0	0.11086817090501101
rpoH	0.31730007993154524	0.0	0.3972587344499403	0.17136910370616773	0.10237243648619276	0.2880923034506834	0.14928249431949758	0.18073556117624912	0.3467588801471494	0.017673626557557318	0.0	0.14455710889608103	0.18707675005815008	0.025594465479954042	0.0	0.09484617578868902	0.03488870730326921	0.0	0.15293379201879795	0.0	0.5591670459250614	0.0	0.002827863347094669	0.17655164217123093	0.034343210401233205	0.2528693038841299	0.0	0.0	0.0	0.03702750139012805	0.0	0.08200855421737091	0.24613389530520757	0.0	0.23049809451763084	0.06379315946208283	0.16519155571194188	0.0	0.008785875954371754	0.0773644288133863	0.08042253191252094	0.017023539974762365	0.056717176894426624	0.0	0.0	0.0	0.01066795470248893	0.026668292230904785	0.10332257224339773	0.08658119865500885	0.0	0.41435944935770463	0.0	0.01125737811669105	0.05009536554190991	0.061713454246829905	0.0	0.2201455267323587	0.0	0.0	0.19489697635795222	0.055059386161232016	0.025911290577945133	0.2946864004843236	0.0933981145362659	0.0	0.0	0.06217169008042002	0.0	0.0	0.0	0.2247326273672663	0.16810440778073898	0.005578983060049384	0.0	0.04955403177269962	0.0	0.0	0.0	0.12021981046641847	0.0	0.2421516843743012	0.0	0.25290059067485465	0.13744681271886755	0.5697423480680391	0.20775267498400612	0.0	0.0	0.25928533431828693	0.17894539337098267	0.0	0.19331902992516012	0.0	0.03071054075523134	0.10302408943007423	0.05436085309515859	0.1620401620620275	0.06000161343519815	0.3304917386467977
mopA	0.364238427353645	0.3972587344499403	0.0	0.8423636465161538	0.06083342525134845	0.3998573711972845	0.1102973540624115	0.05213531185051649	0.11551777553550002	0.0	0.0	0.0	0.14619903297058512	0.024900148695493958	0.0	0.0	0.0	0.0	0.0	0.0	0.5023751247064074	0.0	0.0631487770224042	0.0	0.18206501785959894	0.0	0.0	0.0	0.0	0.383547897698427	0.0	0.022817505480672406	0.08350941568795471	0.0	0.0	0.0	0.0	0.0	0.0	0.07938228748441842	0.1760503193866942	0.0	0.0717595634695741	0.0	0.02926915368050254	0.04846203876266474	0.2770868538002266	0.0	0.12256911942192851	0.05414401401597686	0.0814595194020789	0.25010439745403024	0.0	0.0016548913044296565	0.0	0.15049063043347222	0.076033468120801	0.045420356011516276	0.08386439848308848	0.1011133576590414	0.0	0.22365065539424767	0.034220976441924525	0.019946999417817024	0.03812989453476351	0.0	0.0	0.0	0.0	0.06242833074448609	0.0	0.0	0.0	0.03671652266935044	0.0	0.0	0.08954475406420759	0.2428427295024059	0.2496466457410356	0.14593086128869864	0.0	0.4026359812395144	0.13240015041166947	0.5079440422009392	0.0	0.38942525283128476	0.0	0.0	0.11473695206344728	0.07862154496879353	0.006006464968070065	0.0	0.0019876933479493998	0.0	0.0	0.045222250242263444	0.025322865628123446	0.09120452098938402	0.0	0.12526170155440633
htpG	0.3142485490072034	0.17136910370616773	0.8423636465161538	0.0	0.22069183388010735	0.35383253344906757	0.3055954982141999	0.3462234487260839	0.28784553192787304	0.0	0.0	0.05693675915258778	0.37806002536890865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3164668482446267	0.0	0.06261770894868483	0.14353404738587275	0.47399209122769487	0.0839841254004441	0.0	0.026941814441720176	0.0	0.10506445058876679	0.0	0.0	0.296687295984926	0.0	0.01753567392393838	0.0	0.0	0.0	0.0	0.23113512733678937	0.0	0.0	0.09191729458369434	0.0	0.017917402126290505	0.0	0.3278604441887271	0.16975608031340228	0.04483124194624752	0.0	0.0	0.314674514580337	0.0	0.0	0.0	0.3563581064333548	0.0	0.09611690164754885	0.0	0.010439736450695146	0.0	0.2807552155590641	0.0	0.0	0.05525461504306777	0.051682533825454846	0.14215631224118028	0.0	0.0	0.0	0.0	0.0	0.0758530128936045	0.3434578788808835	0.0	0.10309730158607655	0.0	0.0	0.07647524285652182	0.04329595843327862	0.0	0.41149671460421816	0.0	0.4827202436946941	0.0	0.33398224331966986	0.0	0.1658682070178016	0.0	0.0	0.22485549465175914	0.0707299140388496	0.003116793123275885	0.0	0.0	0.2182284647825857	0.0	0.14937708193461666	0.0	0.16166481999291948
rpoE_rseABC	0.3482380201815122	0.10237243648619276	0.06083342525134845	0.22069183388010735	0.0	0.18199618113609978	0.5532127838276047	0.6709728902521067	0.35117462649612663	0.0	0.0	0.10857194671806743	0.4328990888529601	0.04107007274567715	0.0	0.0	0.0	0.06422396586505935	0.07447706475820104	0.06897189198201932	0.26923249540264477	0.0	0.08723679948576461	0.07071124972633785	0.40460459876961613	0.18278055532314905	0.08706412377412169	0.0013143493709275103	0.03944752710493961	0.11390489397630951	0.0	0.015237630185048067	0.4873361180393439	0.0	0.011949313839034041	0.0	0.7462940763513878	0.052764547305565776	0.0	0.06748662378793945	0.0	0.04532270188291425	0.08797904490701393	0.15723800668457635	0.12313161143878627	0.0	0.3460763968368764	0.32831055260351805	0.10835677687378464	0.0460423471414287	0.0	0.2698020051769541	0.12889257232346446	0.0	0.10170614180374597	0.4625309899805685	0.0	0.06358975185204059	0.0	0.3067434543491487	0.0	0.7775760865526102	0.0785788059424778	0.02494715798457635	0.03454308116540681	0.09879450715780645	0.0	0.006157729086012742	0.0	0.0	0.0	0.0	0.0	0.2660821131936536	0.0	0.05106353450612149	0.0	0.0	0.19696676559064644	0.07578724743247113	0.0	0.11688222618725659	0.020252248010352938	0.2307009426156675	0.0	0.31033579376364645	0.0	0.0	0.031785631107583125	0.0	1.0	0.09856573642714149	0.0561069832551719	0.007497003318490307	0.0	0.6347487131278157	0.06219168124047379	0.4166028309541053	0.0	0.0
ibpAB	0.41965192469669066	0.2880923034506834	0.3998573711972845	0.35383253344906757	0.18199618113609978	0.0	0.28752850546830105	0.10370450752881463	0.17654085337279385	0.00778827705005893	0.0	0.3761646469311742	0.16596674595808583	0.0	0.0	0.0	0.004480915489128651	0.057559572667519765	0.13237056855949556	0.0	0.46237264144466644	0.0	0.0	0.0	0.09549822080114735	0.0	0.0	0.0	0.0	0.4765510775540809	0.0	0.06567057524318462	0.1754140876316025	0.0	0.0	0.0	0.0	0.029682632136333563	0.03959596100612136	0.0	0.09544253695629401	0.004689641874020799	0.10142468168562886	0.025459704420563237	0.1589382826333752	0.0	0.440134924900559	0.14114371981122592	0.0	0.08736132672886586	0.0	0.4942250637524773	0.0	0.0	0.0	0.23461474215167247	0.0	0.09157451975698419	0.0	0.2798120120604979	0.0	0.21821966730504955	0.17338073801926948	0.0	0.08215195507372583	0.0	0.0	0.053379313516731135	0.0	0.013669845082608243	0.0	0.0	0.0	0.2343016173756851	0.0	0.0893143199773802	0.0	0.027745938666624385	0.0	0.26227181535647537	0.08846886287302115	0.4334101286668472	0.028938023240717172	0.5736735725796931	0.0	0.486876950719426	0.0	0.043107737425888984	0.2541961245599057	0.0	0.13320867132564668	0.0	0.0	0.0	0.0	0.2642049600132329	0.0	0.2578494726300578	0.0	0.09937803544619037
ecfABC	0.22959862864960576	0.14928249431949758	0.1102973540624115	0.3055954982141999	0.5532127838276047	0.28752850546830105	0.0	0.46323262955146927	0.4260587733873781	0.0	0.0	0.109101562269839	0.6023252517595653	0.0	0.1993994160681708	0.0	0.0	0.03558257426140917	0.0	0.0	0.3319825069794449	0.0	0.04327791598697719	0.10833035466965735	0.14284914342106148	0.008441344950636613	0.0	0.0	0.0	0.22032886224420603	0.011492088525614142	0.0	0.5053959276206021	0.0	0.19116937378844745	0.05691305431564311	0.0	0.0	0.0	0.0	0.0	0.0	0.048001776507526614	0.0	0.0	0.0	0.5073353608475913	0.06158139577914266	0.0	0.0	0.0	0.5202745390833303	0.0	0.0	0.2413280511081868	0.5760948516040326	0.0	0.0	0.0	0.17866518936602271	0.0	0.5323944393132609	0.0360904674974557	0.0	0.06096256439446677	0.0	0.0	0.023442977618767832	0.15266488445398388	0.0	0.10860656483922411	0.0	0.20549055843735642	0.3768281068434124	0.0	0.02788856377952469	0.0	0.0	0.0	0.0	0.0	0.2591694425704083	0.06283913643001703	0.25647953319940975	0.06846919857054601	0.3058738103715098	0.10860630749813469	0.0	0.19478553775676127	0.06523677972355524	0.5935281308801231	0.0	0.0	0.095221900832486	0.04099076093253762	0.5131121177087531	0.09568501384289613	0.6037083725013906	0.0	0.0
ecfH	0.2637883480346791	0.18073556117624912	0.05213531185051649	0.3462234487260839	0.6709728902521067	0.10370450752881463	0.46323262955146927	0.0	0.6628385522318063	0.0	0.0	0.1971331940840097	0.44651182651491356	0.0	0.0	0.0	0.05233148082111408	0.0790836213991489	0.0	0.0	0.13776543325774632	0.0	0.10824007486303087	0.0	0.38990015986716925	0.20922815882281437	0.0	0.05072412482566112	0.0	0.3563592093117898	0.0	0.0	0.5708255258928941	0.0	0.0	0.0	0.0	0.057524797151028116	0.04154809162613439	0.24852724646188165	0.0	0.0	0.14833856270506032	0.10304109370337473	0.0	0.030256111081797113	0.4179385259256879	0.025361567879369995	0.0	0.0	0.0	0.05525392277441276	0.0	0.0	0.21358959797256657	0.6532290588747325	0.0	0.16429691180116845	0.0	0.2744480470722361	0.05009989812111283	0.6943440534813887	0.0	0.05316691983200625	0.046351068344015825	0.0	0.0	0.0	0.0	0.0006118228342007354	0.0	0.0	0.0	0.21246823125064568	0.0	0.0	0.0	0.0	0.0	0.2331272441793394	0.0941101673618964	0.22567030732326473	0.06325913074705816	0.1689340532440941	0.007209627932680945	0.4177681608455327	0.04404458066469723	0.0	0.09446651278932734	0.03213224643134322	0.5158970502137101	0.20419896616435187	0.0	0.0	0.0	0.570014351421654	0.0	0.541391386116777	0.0	0.11102784078694765
fkpA	0.243606351272016	0.3467588801471494	0.11551777553550002	0.28784553192787304	0.35117462649612663	0.17654085337279385	0.4260587733873781	0.6628385522318063	0.0	0.0	0.0	0.0780135321055212	0.43515325427748947	0.0	0.0	0.0	0.0	0.02565815155550097	0.0	0.0	0.31485869359749113	0.0	0.0	0.24149529978579384	0.3173006803007518	0.11095226994309831	0.0	0.0	0.0	0.2352423514516797	0.0	0.0	0.3579038665411482	0.0	0.20897788033880269	0.0	0.0	0.0016499775413366634	0.0	0.40409413884814455	0.0	0.0	0.06261806397161541	0.0	0.008623124852876776	0.0	0.32561748346006464	0.37843659749336933	0.0	0.04312991618905979	0.0	0.34157014951315573	0.0	0.0	0.03956465880711623	0.5342903210170967	0.0	0.17138893372823216	0.0019704525322425093	0.06709140652710126	0.0	0.29469693773809885	0.0	0.0	0.0	0.0	0.04085824564587408	0.0	0.09325620059568739	0.0789184097506395	0.0	0.0	0.18034099363209508	0.17105333398755093	0.0	0.123723207972826	0.0	0.07673757544846757	0.0	0.11490158292299274	0.0	0.13112775791712233	0.0	0.15594494165977518	0.0	0.13129666523185632	0.09419653919343765	0.0	0.12762973201455058	0.0	0.2974964553411265	0.0	0.0	0.0	0.0	0.4765369351418224	0.13386514195627397	0.4906321201814232	0.0	0.10622556668464359
crp	0.0	0.017673626557557318	0.0	0.0	0.0	0.00778827705005893	0.0	0.0	0.0	0.0	0.2978467943058528	0.024327608460514214	0.07720598882170016	0.17858675399084484	0.06991815954700294	0.15335666216168445	0.22407784289142013	0.27903902878008896	0.4331203321488323	0.3162278320089204	0.0	0.20034396281684685	0.29419426763634576	0.2578296933978722	0.0	0.25861254289089786	0.4114019773038448	0.32789810129115926	0.5318927614989881	0.0	0.5232765716085108	0.3265339865972612	0.0	0.2684236575594766	0.27255023687641866	0.4969416586556492	0.0	0.2570148495021306	0.5991856367173509	0.0	0.17407186391115612	0.31228982723393317	0.2758618739650868	0.0781112074141514	0.1733135071980574	0.24238677740834869	0.0	0.11477444928393561	0.298113393656299	0.3092470346442165	0.028548508304779816	0.0	0.0813396889451177	0.2545585365443803	0.0	0.0	0.3698228330529075	0.0	0.1230288022827585	0.0	0.02737150646258076	0.0	0.33237551301948437	0.18428762005535862	0.1700634280437845	0.18040306616195784	0.0	0.4595694308595422	0.029754501411192506	0.0	0.12470342950984718	0.5629126940545763	0.0	0.0	0.3598708899288272	0.07269982581240093	0.26648998778546124	0.17898578138079477	0.049907435680689206	0.03473406931759154	0.0	0.0	0.21481415248761826	0.0	0.41602633959825586	0.0	0.04923689518362282	0.07861751275471225	0.01627076276786091	0.0	0.0	0.04574323777242429	0.13665284023745305	0.0	0.14825239311507027	0.0	0.0	0.0	0.4600538086158374	0.0
