	lon	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	gntKU	ivbL_ilvBN	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	tsx	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	uhpT	caiF
lon	0.0	0.06405608606150844	0.07486482666666153	0.06387771852440191	0.07934754370550424	0.0829437348745573	0.03462933208710509	0.06261731675289785	0.051076918913191494	0.0004564641810225831	0.0	0.02270376193754768	0.036126168569505776	0.0	0.1016027131850948	0.02992829634130807	0.02494751413269526	0.02691089772348515	0.021632378155516465	0.0	0.1461122846421741	0.04893812338459411	0.04448484519929873	0.004602225947047951	0.03190404504300989	0.0	0.0	0.0	0.0	0.03768172159637704	0.05766536199411376	0.0333931010333713	0.031747944385708105	0.040499543682457506	0.0	0.0	0.021430151126108864	0.0	0.0	0.056276252198169695	0.0	0.005566069886483993	0.017274038132471182	0.0	0.023710644638769082	0.009875432894535779	0.06062988228504175	0.03202797978475576	0.014321232029498563	0.05647981053799042	0.0	0.07837608119845225	0.0	0.0	0.023296552310475165	0.048731550463204716	0.0	0.010141385889157974	0.07786542983948956	0.03747637675491969	0.06316903924815266	0.05658362461120435	0.029658070699878643	0.0	0.04193205961777944	0.036150199148786394	0.0	0.01576497783739712	0.0	0.025476657120247433	0.024757108681821623	0.0	0.0711738038517234	0.5808689490465706	0.0	0.02928311724540053	0.0	0.03224603501568296	0.05022729029517447	0.029329938646375286	0.03787269754270247	0.6644980645554593	0.0470682073115216	0.104021633626504	0.07455478373391054	0.04578015111849671	0.0	0.0049219032066812485	0.032316861914628674	0.01381424068738066	0.08450688801516348	0.0	0.02640093153502876	0.0	0.10436589914228846	0.1463409144743278	0.05093693898835271	0.03385158834885253	0.0	0.025851532258422762
rpoH	0.06405608606150844	0.0	0.10292861944561323	0.030343225194003714	0.017274255519627087	0.06013717371395941	0.02283974706709414	0.03634116949089679	0.0913603978050249	0.008373994383827668	0.0	0.05384375117406357	0.047112613228244477	0.03500444825150537	0.0	0.039771416866713434	0.01853313058600419	0.0	0.04843136741880298	0.0	0.6173877988630495	0.0	0.0	0.044007567187773704	0.0	0.1349799090367492	0.0	0.0	0.0	0.0043606995750853	0.003969071368313435	0.02947228300172207	0.062340300433270386	0.0	0.05523129374738694	0.023576909169420308	0.050661419231955246	0.0011227253817469196	0.004795115301211161	0.022829028806562707	0.05356774596443193	0.012285245312632831	0.01381614076995743	0.0	0.0	0.0	0.0	0.008406965241492372	0.02999437251212007	0.033560605445217905	0.0	0.09096739145368817	0.0	0.00438553771123246	0.02580493900551172	0.011348188845619613	0.0	0.0654401383686731	0.0	0.0	0.050980207395701756	0.0074792008664723506	0.008655129663722522	0.08897448266020942	0.030464809984855984	0.0	0.0	0.023363634269851725	0.0	0.0	0.0	0.09213058609364798	0.031996578829690474	0.0	0.0	0.033222945129921036	0.003097102351191571	0.014183746788163119	0.0	0.032495691646571616	0.0	0.0503008838269684	0.0	0.041237168928837525	0.04832225634430306	0.1069968181747279	0.05780207886142256	0.0	0.0	0.1882803810046781	0.04193541863396228	0.0	0.04828664647200315	0.0	0.013366851073785185	0.015299439250340545	0.013470033369464214	0.026509304380243025	0.018199838784688543	0.07497237998468566
mopA	0.07486482666666153	0.10292861944561323	0.0	0.6945148269518145	0.008879847710191645	0.04249734847702812	0.015707794619514756	0.001337041534186851	0.018206588984484625	0.0	0.0	0.0	0.03662573529111289	0.027472853533510765	0.0	0.0	0.0	0.0	0.0	0.0	0.1322990815717467	0.0	0.027396697180849482	0.0	0.04111951321408682	0.0	0.0	0.0	0.0	0.13064515928009984	0.0	0.018473702428781002	0.014613207822052863	0.0	0.0	0.0038154623888872795	0.0	0.0	0.0	0.013817151543389217	0.1323504102956661	0.0	0.02729724399074548	0.0	0.010854505788649901	0.016827055928683065	0.06818243392603615	0.0	0.050863704543932686	0.0300621976853047	0.02344485317586995	0.02329197543793855	0.0	0.007161603622334634	0.0	0.028436787812802962	0.05256678458046005	0.009687159096826733	0.09020279099346512	0.022077351363267845	0.0	0.07957782743352745	0.020639739568086235	0.019238515895427907	0.013824040065931308	0.0022238649538521603	0.0	0.0	0.0	0.00840145609527739	0.0	0.01938914856017173	0.0	0.0	0.0	0.0	0.04964390592532601	0.050666914890868414	0.10263338730627855	0.04281206738580587	0.0	0.09015428853572138	0.06695727861556314	0.10551192393332107	0.0	0.06635908367430408	0.0	0.0	0.04912766156114562	0.021552591794138036	0.0	0.0	0.006668906916054974	0.0	0.0	0.0015496570373731775	0.0017635681355885591	0.012043549959770998	0.0	0.02422134788660112
htpG	0.06387771852440191	0.030343225194003714	0.6945148269518145	0.0	0.03926870646576498	0.06453564198791162	0.05353095965647659	0.11921443427270803	0.04259277081811926	0.0	0.0	0.0	0.08632543809768166	0.0	0.0	0.0	0.0	0.0	0.00037332696009256187	0.0	0.052094497499573456	0.03178154273673196	0.039607845753650825	0.039545290312214286	0.13221336117230242	0.03723788754361668	0.0	0.10191329847843955	0.0	0.003904486585814122	0.0	0.0	0.06734401902155733	0.0	0.014882004054148825	0.0	0.0	0.0	0.0	0.06119911172695582	0.0	0.0	0.059024652008630885	0.0	0.006690674059464909	0.0	0.09514334554780245	0.03976524812611048	0.03103231946446433	0.0	0.0011728337738840006	0.035660351375773815	0.0	0.0	0.0	0.06586791419439038	0.001167067939903725	0.012979770570323427	0.0	0.0	0.0	0.06140377531577027	0.0	0.0	0.032563134260063416	0.05862525148457623	0.06439282198531586	0.0	0.0	0.0	0.0	0.0	0.002084053943285845	0.10790339873233429	0.0	0.050260519658494256	0.0	0.0	0.040415843832111546	0.01086612636851928	0.0	0.10000626699727216	0.0	0.07789642060653189	0.0	0.049935622056705216	0.0	0.0817419972316781	0.0	0.0	0.048925012008135975	0.02483469555497093	0.00172350649648589	0.0	0.0	0.04577962102028901	0.0	0.021038619595334682	0.0007316156043509208	0.0408673722355868
rpoE_rseABC	0.07934754370550424	0.017274255519627087	0.008879847710191645	0.03926870646576498	0.0	0.032497191143577214	0.11604049697079229	0.7759962917185804	0.06765400079075838	0.0	0.0	0.016051913537585154	0.1131100800918539	0.035168325910145265	0.0	0.0	0.0	0.03378692094621423	0.05625411178483763	0.03831216009060201	0.05530368515273031	0.009168527473141029	0.029610759122879585	0.012178670721557774	0.6031306873764145	0.07612612935918876	0.12379834539851385	0.0	0.037822344623141345	0.018176772974460752	0.0	0.022302410156794867	0.1043857245898342	0.010476904496043597	0.007604879739555724	0.0	0.5365973912436538	0.05534365540831186	0.0	0.011478860347411716	0.0	0.03156146038778893	0.04624061166617157	0.050112846737648147	0.04288042376193089	0.0	0.07216172502002867	0.06906501619305463	0.0981182739407234	0.03290523589158041	0.0	0.06306656748846727	0.06814257906712455	0.0008207156489433348	0.017705199757028486	0.07732600644149976	0.008449590438415172	0.018425751860149976	0.0	0.07720401461905432	0.0	0.8186933358311708	0.05346655649085131	0.019241108593924472	0.016060434997556664	0.07688754581641656	0.0	0.008461781229535116	0.0	0.0005126407087160656	0.0	0.0	0.0	0.06591486882266975	0.0	0.01832184147060604	0.0	0.0	0.09918366111070022	0.01782040877076453	0.0	0.018721251748007834	0.009955185486284483	0.04643691843958529	0.0	0.07484289679873439	0.0	0.003172071881250585	0.00919411864990605	0.0	0.9160369027897018	0.04015701781977842	0.016397353369139972	0.0078533945564801	0.0	0.7538478888474571	0.010403808573524149	0.0896821877246199	0.0	0.0
ibpAB	0.0829437348745573	0.06013717371395941	0.04249734847702812	0.06453564198791162	0.032497191143577214	0.0	0.05022668666032169	0.009142961887194963	0.022500310150849957	0.021337794370020747	0.0	0.5556204803540593	0.029214622322796115	0.0	0.0	0.0	0.007305215151045067	0.025504444947276904	0.061575514285835076	0.0	0.08655597390512348	0.0	0.0	0.0	0.013226589925685584	0.0	0.0	0.0	0.0	0.10503178326229293	0.0	0.042513363497004054	0.026533750214843672	0.0	0.0	0.0	0.0	0.018727494713993233	0.02984410447629411	0.0	0.06242603667522427	0.01414536736440019	0.04427646209837448	0.0161770651937425	0.08357805070803002	0.0	0.12988922079924375	0.0272224906083533	0.0	0.04460187722408927	0.0	0.09072699831443291	0.0	0.0	0.0	0.03855268303909954	0.0	0.025306265136634105	0.0	0.12439636808973234	0.0	0.04549005494330994	0.12987826116624515	0.00010426590516032837	0.031219262036960217	0.0	0.0	0.034169619013376513	0.0	0.008594415323741736	0.01078515630550423	0.0	0.0	0.03676976249612429	0.0	0.026874973159531804	0.0	0.019505063856794257	0.0	0.07373154999890318	0.03468341402433848	0.07216329210442858	0.015137242064254625	0.6417298051724539	0.0	0.0735780430462836	0.0	0.03269435143754347	0.07277346167000669	0.0	0.025465892589990404	0.0006079879670110601	0.0	0.0	0.0	0.06365036718639293	0.0	0.0473842418226591	0.0	0.015211054103018144
ecfABC	0.03462933208710509	0.02283974706709414	0.015707794619514756	0.05353095965647659	0.11604049697079229	0.05022668666032169	0.0	0.06634860391860874	0.06501679033637132	0.0	0.0	0.017919776917824228	0.12790515240669822	0.0	0.05553321606216579	0.0	0.0	0.018764361026402554	0.0	0.0	0.06914486363477475	0.0	0.024010677218810682	0.022519724191382588	0.0195408750663028	0.0	0.0	0.0	0.0	0.042122573864593574	0.02894353711374642	0.0	0.10053145423467094	0.0	0.06124499711357265	0.04992699866615357	0.0	0.0	0.0	0.0	0.0	0.0	0.023876418783959324	0.0	0.0	0.0	0.12284007782595262	0.006036477732587603	0.0	0.0	0.010144953942770029	0.12260693685415584	0.0	0.0	0.04454943307839487	0.09450712033303922	0.0	0.0	0.0	0.03477538384645498	0.0	0.14414640929107336	0.033868342581961815	0.010055441966668289	0.034555653774041975	0.0	0.0	0.03750299534075724	0.04942974932666138	0.0	0.05253018572832265	0.0	0.038192055553648546	0.08256693384961612	0.004011736732243414	0.0120397333153217	0.0	0.0079365591211268	0.0	0.006388742806944984	0.0	0.047253856216758684	0.06143432941036462	0.03447360107303033	0.056425331331703736	0.06140738017881936	0.018185835032689494	0.0	0.052656172780779914	0.028450502022928714	0.7265348584413095	0.0	0.0	0.05002596818312732	0.07005533273134049	0.09416247987689574	0.020111122161115123	0.16461990943389773	0.0	0.0
ecfH	0.06261731675289785	0.03634116949089679	0.001337041534186851	0.11921443427270803	0.7759962917185804	0.009142961887194963	0.06634860391860874	0.0	0.7043694517275042	0.0	0.0	0.037288889968561355	0.07001332508474037	0.0	0.0	0.0	0.052333673022474984	0.04177757235707898	0.0	0.0	0.016541268922437354	0.0	0.0619509089492713	0.0	0.05652615528635636	0.10752378398555924	0.0	0.03671268983405267	0.0029477245941272813	0.06381552369694925	0.0	0.009385645417163902	0.6911861210291814	0.013338437514356252	0.0	0.0	0.0	0.06156093300608827	0.07793092696506393	0.03854900383426961	0.0	0.0	0.08974279918800226	0.028828412574718524	0.0	0.032279242180456406	0.07038461884294518	0.0	0.0	0.0	0.0005876537019748556	0.0	0.016220658489627178	0.005030749451998929	0.036988536353220594	0.20345234257224942	0.0	0.03550834709416231	0.0	0.05522539187712922	0.016700517462773658	0.17169314765294544	0.0	0.03659353000918871	0.02276023289731207	0.0	0.0	0.0	0.0	0.004030727266036113	0.0	0.0	0.0	0.039072488624470714	0.0016645713428561438	0.0	0.0	0.0	0.0	0.0676649512493392	0.022384862494933853	0.04210533649949553	0.04340338545314324	0.029752101076187212	0.011248322417909155	0.12426435177938977	0.0015623215166281892	0.0	0.02058563994361776	0.01282035815266568	0.08953186467103628	0.05227116377127951	0.0	0.0	0.0009354853922803857	0.12406672077116307	0.0	0.13082915553228863	0.0	0.02368415836730858
fkpA	0.051076918913191494	0.0913603978050249	0.018206588984484625	0.04259277081811926	0.06765400079075838	0.022500310150849957	0.06501679033637132	0.7043694517275042	0.0	0.015492639246840578	0.02353329407648149	0.008991032885543983	0.07019789320844502	0.0	0.0	0.0020626601231367647	0.01384235279774715	0.026124838188774455	0.0	0.0	0.0651734024005541	0.0	0.0	0.07207380412877436	0.08940339363117997	0.04789537050620581	0.005811752736887138	0.0	0.0	0.0400312233078697	0.0	0.01620653712106397	0.05749790206077077	0.0	0.0546733138674373	0.0	0.0	0.010623110829279879	0.0	0.5414278670630481	0.034592662969200084	0.0	0.03323217054777572	0.0	0.0027612145343199686	0.0067917564088386525	0.059249955223740235	0.07767068923984294	0.0	0.040717509655391775	0.0	0.1401139612891856	0.0	0.0	0.004225717048790485	0.11188226533534319	0.0	0.05375129077918624	0.024572966330910058	0.012115023502063702	0.0054037030115298675	0.055188655622651385	0.0	0.0	0.0	0.0	0.018951886235459577	0.0	0.04055682571081972	0.03693168265695309	0.0	0.0	0.037313563141966904	0.02783434307183297	0.0	0.05808946908778112	0.0018837780903048034	0.03915803229491148	0.0	0.03784034329472888	0.0	0.010701463530151984	0.0	0.012723645644375343	0.0	0.01329044488237744	0.01892244123141416	0.0	0.04152073295175403	0.0	0.056580370071687425	0.005918433329346599	0.0	0.0	0.0	0.09359511372361688	0.0909230987648597	0.0959486768115388	0.0	0.02468467112732342
crp	0.0004564641810225831	0.008373994383827668	0.0	0.0	0.0	0.021337794370020747	0.0	0.0	0.015492639246840578	0.0	0.06016113418971457	0.012057820750911398	0.06630248233484361	0.02722390294570036	0.01403047994085223	0.022550347463560806	0.03776870953663615	0.058135519881906406	0.2230598062481113	0.05775472712138038	0.0	0.03273039788008346	0.056903287022501595	0.06312640328199372	0.0	0.0939837625723011	0.08884048481633791	0.07384380317632738	0.14203690804018726	0.0	0.14443962375838637	0.055830956263097656	0.010630250108215084	0.06709299678407601	0.048577299954694966	0.15549775766921317	0.0	0.04844162080300865	0.998803702878174	0.0	0.0311062776191086	0.05226798773085703	0.06611851906411235	0.0073506632320369985	0.059135013445434384	0.09911553642507746	0.018379409584420695	0.03237882631781287	0.053481067096697	0.07346749687828309	0.0010094478786902348	0.0	0.01856734095752712	0.07521465937603751	0.0038879896424061804	0.0	0.11793927042200822	0.0	0.029003479258557327	0.0	0.0003648059229041206	0.0	0.061295271371127	0.033670406377668036	0.038299610515570987	0.02998045519891076	0.0	0.11171159865934707	0.001228427523237255	0.0	0.015323842202793295	0.2924693643682749	0.0036059637825051898	0.0	0.0727680229023211	0.012580625174625439	0.05601770793095701	0.0332032057512184	0.004918050935426424	0.0028185142259569986	0.0	0.0	0.04859129624042157	0.0	0.07750077240547404	0.0	0.0068598546251947895	0.007983346687866056	0.0013638542466181455	0.0	0.0	0.00277310747075491	0.027049617596666624	0.0	0.020474859400503167	0.0	0.0	0.0	0.2124108951635279	0.0
