	lon	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	fur	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	gntKU	ivbL_ilvBN	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	tsx	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	uhpT	caiF
lon	0.0	0.23488410236971788	0.27860554117277925	0.2574398477701888	0.29331210178307476	0.31558259770950897	0.1893918936738769	0.21909015666195994	0.20581074191862253	0.01979321126124325	0.0	0.09587267887683319	0.160308602453005	0.009237211288270654	0.2118279387329627	0.06967334976460399	0.06265230937744075	0.09458066917937974	0.10464401824270404	0.0	0.35671712729812466	0.09720237423054204	0.13730145045109327	0.035795568827591995	0.12049357803097427	0.0	0.0	0.0	0.0	0.16821554758505236	0.1388059577839803	0.10186650425024017	0.1605505953308573	0.05720074803585112	0.0	0.008366519924155864	0.07387175412263147	0.017114518247872943	0.0	0.19506968229787708	0.0	0.03136457418104925	0.06843451881611036	0.0	0.06666236962269291	0.03827409619492681	0.26357629088744955	0.14814322316075124	0.0751034246670297	0.13832078801673137	0.009832739924588987	0.34113718194282444	0.0	0.0	0.08864157158752697	0.20758578815640258	0.024367919586660278	0.04571211763035853	0.16412164848874905	0.12325550946650723	0.20020170488051853	0.2336607581990629	0.09936077300798253	0.007588854044758772	0.12793768818727316	0.07942669579083829	0.010911127288210264	0.06877463394851996	0.0	0.0633215573245827	0.06897365548921296	0.02802273030389869	0.20584706275488068	0.35613782500211655	0.0	0.10375666560146611	0.0	0.09021483346061794	0.12043719157599082	0.08679375896898307	0.0893912138529265	0.4788858945823647	0.13107137369124744	0.3878124072302695	0.15222285090482007	0.23266380733733846	0.0	0.03024659200184221	0.10735520585842707	0.04804725555533437	0.3444345074958984	0.0	0.06642905019182645	0.0	0.07332878882547592	0.38166136712934473	0.14357376836566405	0.17246770441192188	0.0	0.10556128553310652
rpoH	0.23488410236971788	0.0	0.270674647839507	0.11783048972348165	0.09433243194103005	0.20114470742234838	0.11766175787638615	0.14903226334939626	0.239706175654427	0.05953502340331524	0.0	0.13080915456549058	0.15996712003741076	0.06605496945448253	0.0	0.11809780562832616	0.0605074365163229	0.0	0.15844196339184058	0.0	0.3825972558678216	0.01900221065906449	0.02026310102138659	0.1413606666586506	0.04185956541743149	0.2102027993236253	0.0	0.0	0.019693615281888895	0.05076109736288511	0.03539979109020135	0.10171617127802604	0.19511785709591065	0.0	0.17516005720578157	0.08300595419439538	0.12000317293062386	0.03399297366246775	0.04768824976058311	0.08187326037528433	0.13713207082600543	0.058380029823703564	0.06397531914294616	0.0	0.02264304737454449	0.0	0.0	0.05784102523397672	0.11179939920416063	0.1025970989367771	0.0	0.2749519717290455	0.0	0.039260276134448956	0.06967127203603733	0.07032227231404684	0.0	0.1623335714643357	0.0	0.0	0.15494559567330196	0.052533805009480135	0.05276221740822159	0.23535337073464685	0.09619083697641351	0.012734542775364694	0.0	0.0870216117135844	0.011886288917634012	0.0	0.012149613687323892	0.2266894929501554	0.1096557093698571	0.00823852993529812	0.0	0.08628109478508467	0.030763296916751608	0.048011336827129325	0.0	0.1050428930051075	0.0	0.16559680343041183	0.0	0.17696205562278444	0.13975300755019504	0.38057649500295476	0.13415456070859377	0.0	0.0	0.22478024985477257	0.15703094134292653	0.0	0.14367097362354622	0.018850522004059855	0.06037547586652223	0.09495608902759245	0.04518095655076822	0.14024234572163183	0.0750588358476272	0.2250338688676332
mopA	0.27860554117277925	0.270674647839507	0.0	0.5911325773400258	0.06559230839105055	0.27562587010342565	0.09653679257429636	0.05140902674614609	0.10264622173521608	0.002886567196968998	0.0	0.0	0.14281330931613928	0.08198386180925098	0.008873868143433378	0.0	0.0	0.0	0.0	0.0	0.3882011831313454	0.0	0.08329569135360933	0.0	0.1526950000064554	0.0	0.0	0.0	0.0	0.26962425077229574	0.0	0.05443828999391819	0.08166092285857728	0.0190922207454283	0.0	0.027496755020153193	0.0	0.0	0.0	0.07771822781865224	0.2197026237050869	0.0	0.08804843722457158	0.0	0.052976590578725724	0.08373873314467588	0.2441623640407818	0.006322594303672207	0.13752109624329076	0.09288647197837822	0.08702346608682593	0.1878233605907802	0.0375086889183108	0.042637180301964506	0.0	0.14263662911786365	0.11215456563763937	0.058218138961451005	0.11397977439463661	0.10165341682046217	0.0	0.2033225656549901	0.06028729277223527	0.06275012034580602	0.053382191974652334	0.030386023353112048	0.03179272154186472	0.0	0.0	0.06668261481570031	0.0	0.055808870383117715	0.0	0.05382101847169957	0.0	0.029268395675351975	0.11897003001455672	0.19321732329097746	0.2102117914995059	0.12769299333260709	0.0	0.28611653614154425	0.15594445434378654	0.37241095596615065	0.029679590272062586	0.2885712488604937	0.0	0.0	0.12856117983506446	0.08402370819404378	0.012488084261875736	0.0	0.04614911164359613	0.0	0.0	0.03938649243048303	0.04431588341953951	0.08589866456133254	0.0	0.11967054818367401
htpG	0.2574398477701888	0.11783048972348165	0.5911325773400258	0.0	0.20361164914894617	0.24671273553345893	0.2507525372458393	0.30443691362390535	0.21023212112669953	0.0	0.0	0.045220950756984554	0.31790787278794713	0.0	0.0	0.003861126340583569	0.0	0.0	0.022696373948224238	0.0	0.25382153804839497	0.07474668376881978	0.09294570015314223	0.11947072646831834	0.3361202494948883	0.11754971963219844	0.0	0.07488051946477485	0.0	0.08678656713743459	0.0	0.009005252889902117	0.25172605716401936	0.0	0.06373629614577894	0.0	0.0	0.0	0.0	0.1683957007064038	0.0	0.0	0.12740012894185493	0.0	0.03973802781458627	0.0	0.2876952559317598	0.12876960657483283	0.09850854387087832	0.0	0.030247469073232454	0.20928852658754987	0.0	0.0	0.0	0.3102832858709937	0.017385057352781817	0.07415339666547423	0.0	0.028662605439143927	0.035420788321186676	0.2604960068559203	0.017611342192636516	0.0	0.08145948462421358	0.11412179961527648	0.12952641343899565	0.0	0.008829449349188901	0.0	0.0	0.0	0.05469101573003109	0.24550300237149938	0.0	0.11742440727209684	0.0	0.0	0.11333125535647501	0.07072081702334855	0.010409662159992802	0.2828259066726958	0.0	0.34742003699300456	0.0	0.24212240466184395	0.0	0.1917428592774821	0.0	0.0	0.21124980949791378	0.09583271351095178	0.03993582999944672	0.025199275924936374	0.0	0.1977734686613441	0.005972199602618943	0.12564652697315068	0.014999130642239776	0.1326295360218145
rpoE_rseABC	0.29331210178307476	0.09433243194103005	0.06559230839105055	0.20361164914894617	0.0	0.16947502646166848	0.5557095783556949	0.660832873540426	0.3200595317636134	0.0	0.0	0.09866746347004002	0.3910725404526269	0.10353522731630255	0.014862323729803858	0.0	0.007822622496695405	0.1072795566940998	0.14343207969841693	0.11093390468442692	0.25046013243351356	0.037330782040966105	0.13456452257250134	0.06750732853083052	0.342168694892857	0.21263494409763922	0.1871596837679061	0.014940675813799742	0.1063949671201636	0.11876941214491876	0.0	0.06510678752668657	0.4362141858494494	0.049115767459609105	0.04169385079592696	0.0	0.40667419854097914	0.11990910174450627	0.0	0.06850562531684214	0.0	0.09901309517879607	0.135778453659746	0.15190959103112955	0.1506313152418435	0.0	0.3218151076774303	0.21857798229339953	0.19035699986130167	0.09747132148673218	0.0	0.2567678976866559	0.1572293792983288	0.03075433540928876	0.08449205373254152	0.4607883850888881	0.040972354486240696	0.06219000576590247	0.0	0.2498952946143125	0.015016918702360025	0.7500924804562121	0.15564973327149767	0.07793148407032287	0.0751608822713764	0.16666253234419015	0.0	0.05091520493843469	0.0	0.03324591305215944	0.0	0.0	0.0	0.233355749290804	0.013301108809909054	0.07952322514499094	0.02556728563815038	0.0	0.1905349064801084	0.06551988683328938	0.0	0.1145387790164306	0.0455463598446257	0.21799482614203194	0.0	0.282102429931792	0.0	0.03163891693195657	0.053886691999971356	0.0	0.9756766102884944	0.08688297328944838	0.06059578720862429	0.04278554858745725	0.0	0.6035670830911124	0.050386791449880584	0.4108049064130029	0.0	0.0010400308045747486
ibpAB	0.31558259770950897	0.20114470742234838	0.27562587010342565	0.24671273553345893	0.16947502646166848	0.0	0.23370137944658134	0.08666746381599817	0.11877583635118036	0.0627766266541848	0.0	0.2692186197341077	0.14780409345113799	0.0	0.0	0.0	0.05714139590034662	0.0905917176547261	0.1673393510134461	0.0	0.34687231465144536	0.011732534415334972	0.0027330664443553578	0.0	0.08598702834723417	0.012272893662929128	0.0	0.0	0.01706220915388036	0.34866885419523236	0.0	0.11052337011207028	0.13707990670630732	0.0	0.0	0.0	0.0	0.07816665932864048	0.09294427226785329	0.012286538160149133	0.15472525051263125	0.047422211670068375	0.12483914430123141	0.0606184060817325	0.1477917206149489	0.029713453550029245	0.3537411829197837	0.1009021937237067	0.0	0.1288912798996402	0.0	0.35306330594346746	0.0	0.0	0.0	0.20548777632814505	0.0	0.08247491885569495	0.018825470773620796	0.20865620516510164	0.0	0.20062000968116644	0.20999253854289837	0.03321313004695886	0.10411806212775224	0.0	0.0	0.0919931933207631	0.0	0.0423806613979076	0.0419935893252857	0.0	0.0	0.18446437898402102	0.0	0.09171857729102736	0.02124653028004852	0.05420207451174816	0.0	0.1860676313442597	0.07543415129945583	0.2997675294475811	0.05511404339563671	0.42148530179083493	0.012550058899446846	0.34476212374329546	0.0	0.09634888879702988	0.191123830164276	0.0	0.13348335172970485	0.02384310326480292	0.0	0.0	0.0	0.23069167249477357	0.010724563104356492	0.2130981269161604	0.0	0.09161549715158591
ecfABC	0.1893918936738769	0.11766175787638615	0.09653679257429636	0.2507525372458393	0.5557095783556949	0.23370137944658134	0.0	0.42936688473472007	0.3397042023460397	0.0	0.0	0.10114129436388815	0.5277620269378092	0.0	0.1662583143333848	0.0	0.0	0.07470717951682308	0.005979810736451913	0.017402194077634325	0.2818187351095904	0.0	0.07410712950467882	0.09037628568530971	0.11016278172215663	0.02465314077957186	0.01872775479956435	0.0	0.0	0.19148129677501005	0.07796521045543325	0.0	0.41324649882903186	0.0	0.1718105777112872	0.12431352407714152	0.007654318738219496	0.0	0.0	0.0	0.0	0.0	0.08803675841052744	0.0	0.0	0.0	0.4425592399758174	0.05111395069929284	0.0	0.0	0.047228555101234145	0.42320711396887395	0.0008553242190097348	0.0	0.15790865879687985	0.5426711570784012	0.011154777816794395	0.0	0.0	0.14639886561728166	0.0	0.5137155702730387	0.10148001267743936	0.05968186313427457	0.10901839922572013	0.0	0.008493349226290284	0.07958986876063169	0.1690508460087806	0.0	0.14219801725707878	0.0	0.1335365143603275	0.29787576300275664	0.032460537192342286	0.057385814209746505	0.0	0.048158633765837545	0.0	0.04517357882919055	0.0	0.20974701991993816	0.11020859520527122	0.1896594174432995	0.13844406502313175	0.2515441920759335	0.07737693853992991	0.0	0.18736192542223853	0.08225196480521246	0.5714904786622972	0.0	0.0	0.11207331656997131	0.13458153931645755	0.4710423373367244	0.07816144843840242	0.5307415268090365	0.016093443306345802	0.0
ecfH	0.21909015666195994	0.14903226334939626	0.05140902674614609	0.30443691362390535	0.660832873540426	0.08666746381599817	0.42936688473472007	0.0	0.554152860807322	0.0	0.018112341964734942	0.16682326166899886	0.381503921756173	0.013515650465929353	0.0	0.0	0.13648706732335836	0.1327432995263315	0.0	0.011206886029589367	0.11848134281350407	0.0	0.15968603018181426	0.0	0.31044084325224885	0.24486983366896292	0.0	0.08534404582772699	0.03685723690377995	0.30679290451322905	0.011737528568113392	0.039368114123843306	0.47777698916778244	0.049771873851606065	0.023955745034165855	0.0	0.0	0.13284758848510508	0.1305564312118671	0.18739862694126339	0.0	0.0	0.21536314639512263	0.10705469780055327	0.0	0.09038487043509652	0.3645347172079186	0.021965872287672706	0.0	0.0	0.03183384574621218	0.02980264644243807	0.06716710793992577	0.03946040212515591	0.14917980041630075	0.6167334265685388	0.02010054794794593	0.12768841071832857	0.0	0.22030454766086827	0.06420440121999262	0.6569909020791329	0.0	0.10450561409585293	0.08181157072694395	0.0	0.0	0.0	0.0	0.04810245874799922	0.0	0.0	0.0	0.18828832148482288	0.033933260897451696	0.0	0.0	0.0	0.0	0.15519455070732577	0.08896494605215373	0.19806386806272297	0.10866332396363443	0.14439669852516773	0.05697232309223232	0.3587622250396079	0.03527573469904196	0.0	0.09970657056909348	0.07269988849393626	0.4985440381140845	0.17027931693245318	0.0	0.0	0.027685243653811385	0.5350806570708404	0.0	0.4848317925902752	0.028783763926018453	0.08935740078663186
fkpA	0.20581074191862253	0.239706175654427	0.10264622173521608	0.21023212112669953	0.3200595317636134	0.11877583635118036	0.3397042023460397	0.554152860807322	0.0	0.043958821597298164	0.060936587763676206	0.07887459740279802	0.3573649736289115	0.0	0.0	0.033398742158951666	0.052561615387123804	0.06129636570846496	0.0	0.0	0.22779481588346906	0.0	0.0	0.16465958875979042	0.2335870082902086	0.1366638544853008	0.04261690499910608	0.0	0.0	0.18762838951044072	0.0	0.03884304324765896	0.2794699645747747	0.0	0.16978098167558353	0.0	0.019669506816423984	0.05816728305435841	0.0	0.2708005410319085	0.08235269249399656	0.0	0.09635809648827126	0.0	0.03929841931260341	0.015585204815000931	0.2646327592218957	0.2388067555355284	0.0	0.08772238308033964	0.0	0.25134407739797576	0.009164652214345509	0.0	0.040583567596966755	0.4433548585583758	0.0	0.12856895079022393	0.04932942152984502	0.08171261139264027	0.04102661420659743	0.2692728844163541	0.0	0.0	0.0	0.0	0.06159092590639431	0.0	0.11160403186401795	0.09998430099400968	0.0	0.0	0.12947982025357707	0.14402092513379683	0.0	0.12943070903398624	0.02396552220625782	0.10180139080649733	0.0	0.10760901634483543	0.011574128118087423	0.08898816656933446	0.0	0.10514711715477434	0.0	0.09396077193778934	0.06868834898470115	0.0	0.1287380325812052	0.017925290199790177	0.26689676275767193	0.042190543361628516	0.0	0.0	0.0	0.40322464558595816	0.09520099081322114	0.40167966737805155	0.0	0.09759085474966549
crp	0.01979321126124325	0.05953502340331524	0.002886567196968998	0.0	0.0	0.0627766266541848	0.0	0.0	0.043958821597298164	0.0	0.41211634308097905	0.061802334369042304	0.15178910671397475	0.18560861711443086	0.05813384447303738	0.15806678296977825	0.290127927903018	0.4376427031921713	0.6539926059461736	0.49439230601085443	0.0	0.2474318542547934	0.45029345708130525	0.1648906500163916	0.0	0.3154678844881848	0.6327869522292813	0.4686921742471385	0.8487824243164684	0.002302977327116822	0.8441624565831771	0.5290381410780011	0.05575958217591644	0.33586073336064287	0.1795884277730336	0.8522584024852683	0.0	0.3061795702696526	0.975787500804873	0.0	0.1622892167834968	0.48696226757870315	0.36159774119809507	0.06778342933301322	0.17429854304771503	0.22956869234970442	0.05616699649326172	0.10993427386628406	0.4589618259931682	0.500204957748376	0.02922692366860809	0.0	0.08175471558311667	0.3064993894732909	0.028126743994290115	0.0	0.5686505846006021	0.0	0.12201786838003198	0.0059063426960487215	0.03862207618792365	0.0	0.526412345905093	0.19924369604536377	0.28798007976383516	0.21548865362615774	0.0	0.7356942768348735	0.03613185370075216	0.0	0.09429302300821087	0.8973454389436939	0.028700169630910138	0.0	0.567887531484213	0.06920927541187873	0.3475324769906872	0.14902302461274108	0.05194938076010502	0.03651635992393175	0.004815008628790606	0.0	0.3026235506583448	0.0	0.7009842504963837	0.0	0.0399888084349493	0.0777401098231941	0.040409481732399784	0.0	0.017074163355548035	0.04765663559760904	0.09295655668074958	0.0	0.17041949382025331	0.0	0.0	0.0	0.7746087490584701	0.0
