exps_10_bgr clr:
1 0.6529350046937987 0.09775244447862048
2 0.6171407957122242 0.06343221597716252
3 0.485538282571912 0.020293087772407816
4 0.6198979591836735 0.030931258026169656
5 0.6360683760683761 0.02243345752063701
6 0.5285652920962199 0.008489627617175047
7 0.3641746854182087 0.0
8 0.5794270833333334 0.004628605312771278
9 0.4297556719022687 7.362618322204594e-05
11 0.49470899470899476 0.00042778734457426057
12 0.7477836879432622 0.0
14 0.8034754224270353 0.015409732766675888
15 0.332072072072072 0.0
17 0.6261652201864352 0.0
40 0.48781250000000004 0.0
45 0.7832258064516128 0.0
exps_10_bgr aracne:
1 0.6331106079849799 0.04807320855505896
2 0.5979952587095444 0.030126807677275918
3 0.5246140016920474 0.0075540610288975735
4 0.5659013605442177 0.028968868584848897
5 0.5363247863247863 0.0030543429030608486
6 0.5756013745704468 1.8451600713264947e-07
7 0.49740932642487046 0.0
8 0.5201822916666666 0.0009164810180664045
9 0.4869109947643979 0.00010964611715687642
11 0.5228475228475229 0.0013014082278151556
12 0.7464539007092198 0.0
14 0.699020737327189 0.03617154078506186
15 0.49189189189189186 0.0
17 0.47332047573127617 0.0
40 0.5126562499999999 0.0
45 0.7682437275985663 0.0
exps_10_bgr mrnet:
1 0.6704401126511679 0.10680705750524444
2 0.645820449391878 0.0647738934938555
3 0.4979113790186125 0.019597132411609486
4 0.6178784013605442 0.03517406710239369
5 0.6298290598290599 0.02161467601724011
6 0.5105240549828178 0.007566309517483274
7 0.41080680977054035 0.0
8 0.6279296875 0.0026119020250108486
9 0.4217568353694008 0.00014221845905918823
11 0.520923520923521 0.00010694683614356601
12 0.739804964539007 0.0
14 0.7951228878648233 0.016798310114888852
15 0.35711711711711713 0.0
17 0.6724525875924141 0.0
40 0.5265625 0.0
45 0.7913261648745521 0.0
exps_10_bgr mrnetb:
1 0.6592854381799105 0.09705450316368397
2 0.6303081838796125 0.05944748060328058
3 0.48892237732656507 0.019842877196968554
4 0.6374362244897959 0.03117092460389768
5 0.64 0.018845233399079554
6 0.5210481099656358 0.0058462051699909165
7 0.37268689859363435 0.0
8 0.595703125 0.004540443420410156
9 0.37783595113438045 6.167594090074254e-05
11 0.49951899951899953 9.254458508907695e-05
12 0.7437943262411347 0.0
14 0.7867703533026114 0.02049053720083248
15 0.34 0.0
17 0.5875924140147863 0.0
40 0.516484375 0.0
45 0.8257347670250896 0.0
exps_50_bgr clr:
1 0.6696670164006847 0.09657825000247534
2 0.6240465883323025 0.05391067515316565
3 0.4883936125211506 0.01655173567159214
4 0.6642219387755103 0.025410927684211437
5 0.5652991452991453 0.010908320549346191
6 0.618127147766323 0.0032639036501694615
7 0.4322723908216136 0.0
8 0.6624348958333333 0.017294989691840283
9 0.4485165794066317 0.00877202778649193
11 0.5171957671957672 0.02113604088712314
12 0.6697695035460992 0.0
14 0.8882488479262671 0.0015645609613946171
15 0.3704504504504504 0.0
17 0.6615236258437802 0.0
40 0.51828125 0.0
45 0.8554838709677419 0.0
exps_50_bgr aracne:
1 0.5469932077972279 0.027355077683615846
2 0.5247113997113997 0.01064298155748372
3 0.48493020304568524 6.076936889639e-05
4 0.5505952380952381 0.004025241580475729
5 0.48760683760683765 7.487763898020341e-06
6 0.5210481099656357 0.0019575303196702927
7 0.4844559585492228 0.0
8 0.6158854166666667 5.128648546006918e-05
9 0.4842931937172775 6.852882322304775e-06
11 0.48412698412698413 6.998684247361348e-06
12 0.5678191489361702 0.0
14 0.6524577572964669 0.0005133600439829072
15 0.4837837837837838 0.0
17 0.48633879781420764 0.0
40 0.478125 0.0
45 0.5777777777777777 0.0
exps_50_bgr mrnet:
1 0.660279419073389 0.09437636529928849
2 0.6106730571016284 0.04834338222336279
3 0.48495664128595595 0.019831173466662584
4 0.6742134353741497 0.024307690896298997
5 0.533931623931624 0.008786711958506834
6 0.6496993127147765 0.0023352807152726162
7 0.4337527757216877 0.0
8 0.6580403645833334 0.019729640748765744
9 0.4725130890052356 0.004378759144367723
11 0.5263347763347763 0.019625597577738033
12 0.6679964539007092 0.0
14 0.8594470046082949 0.001657027708759538
15 0.38072072072072066 0.0
17 0.65348762455802 0.0
40 0.5114062500000001 0.0
45 0.8469534050179212 0.0
exps_50_bgr mrnetb:
1 0.6727041802418687 0.09981167019658943
2 0.6281436817151103 0.05706877594025309
3 0.4923857868020304 0.02237923226571156
4 0.6819727891156463 0.026779432542574852
5 0.578034188034188 0.012144327562276286
6 0.6045962199312716 0.0030943795686163454
7 0.4048852701702443 0.0
8 0.6730143229166666 0.010884629355536574
9 0.49840023269342637 0.0028487897132990917
11 0.5462962962962963 0.021628378079797034
12 0.6839539007092199 0.0
14 0.8779761904761905 0.001664853094376841
15 0.3776576576576577 0.0
17 0.6489874638379942 0.0
40 0.5328125 0.0
45 0.8718279569892473 0.0
exps_100_bgr clr:
1 0.6997901595891546 0.0980166394173866
2 0.645021645021645 0.0584573705515264
3 0.5075613367174281 0.03572190699877033
4 0.5490008503401361 0.043348964931423255
5 0.5516239316239316 0.010548557235736722
6 0.3449312714776632 0.0016652569643721728
7 0.49740932642487046 0.0
8 0.658203125 0.010447608100043396
9 0.6009307737056429 0.00043858446862750334
11 0.5615680615680616 0.0007126511455515796
12 0.8169326241134751 0.0
14 0.9443164362519201 9.217179761255811e-05
15 0.46882882882882887 0.0
17 0.6473802635808421 0.0
40 0.47609375 0.0
45 0.8938351254480287 0.0
exps_100_bgr aracne:
1 0.534347561985753 0.022984220198826004
2 0.5480055658627087 0.017380794246573027
3 0.49962986463620984 0.0022957401016302044
4 0.5022321428571429 0.0023796169456302935
5 0.5205982905982905 0.0021584410840821064
6 0.48840206185567014 1.494579657774482e-05
7 0.5477424130273871 0.0
8 0.54833984375 2.1457672119140625e-06
9 0.5424665503199535 1.0237021740727025e-05
11 0.5101010101010102 0.0003253520569537879
12 0.5673758865248227 0.0
14 0.5562596006144394 1.3309607575253398e-05
15 0.49189189189189186 0.0
17 0.5433944069431051 0.0
40 0.5003124999999999 0.0
45 0.5326881720430107 0.0
exps_100_bgr mrnet:
1 0.6962283947208571 0.08760005435330817
2 0.6394042465471037 0.055553663201754894
3 0.5049968274111674 0.0334511449670448
4 0.5601615646258503 0.037150680850571514
5 0.5423076923076923 0.00971542844619768
6 0.34987113402061853 0.0016130850633554136
7 0.5085122131754256 0.0
8 0.65625 0.010052151150173615
9 0.5855148342059336 0.0008630401551830937
11 0.5395622895622896 0.0010308454572523855
12 0.7983156028368794 0.0
14 0.9083141321044548 0.0005806915421388795
15 0.49441441441441436 0.0
17 0.6152362584378014 0.0
40 0.4765625 0.0
45 0.8772043010752688 0.0
exps_100_bgr mrnetb:
1 0.7009221933845049 0.09821089690395911
2 0.6535508142650999 0.05985806427541564
3 0.513298434856176 0.03517069862692038
4 0.5589923469387755 0.04118723182831806
5 0.5537606837606838 0.013361509240996416
6 0.3127147766323024 0.0004989312832866891
7 0.4744633604737232 0.0
8 0.658203125 0.0063086615668402745
9 0.6093659104130308 0.00017132205805761867
11 0.5588023088023089 0.0010935444136502346
12 0.8289007092198581 0.0
14 0.9452764976958525 0.00011978646817728059
15 0.4940540540540541 0.0
