narK	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	clpP	htpG	FruR	ptsHI_crr	icdA	cpxAR	uhpT	tonB	dnaA	narL	deoR	uppS_cdsA_ecfE	mglBAC	ebgAC	malK_lamB_malM	mopB	fucPIKUR	fecIR	tnaLAB	sodA	deoCABD	fepB	yhfA	glgS	acs	htrA	srlAEBD_gutM_srlR_gutQ	caiF	fur	ecfK	rpoH	mopA	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	cirA	cyaA	speC	araBAD	ansB	nagBACD	araJ	nupG	araC	ivbL_ilvBN	fnr	malS	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	pspABCDE	malT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	tsx	caiTABCDE	himA	dcuB_fumB	cytR	gntKU	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	focA_pflB	aceBAK	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	lon
nfo	soxS	mopB	grpE	htpG	hflB	clpP	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	caiF	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	yhfA	araJ	ecfK	xprB_dsbC_recJ	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	nupG	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	nagBACD	narK	cytR	ivbL_ilvBN	gntKU	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	rpoD	gntT	nrfABCDEFG	uhpT	focA_pflB	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
hflB	htpG	clpP	grpE	htpY	caiF	tnaLAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	fur	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	yhfA	araJ	ecfK	xprB_dsbC_recJ	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	nupG	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	nagBACD	narK	cytR	ivbL_ilvBN	gntKU	uhpT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	malI	dnaKJ	malS	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	focA_pflB	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
clpP	hflB	grpE	lon	srlAEBD_gutM_srlR_gutQ	rpoE_rseABC	ecfH	fkpA	lpxDA_fabZ	ecfK	uppS_cdsA_ecfE	rpoD	ecfG	mopA	tsx	appCBA	arcA	rpoH	caiF	cpxAR	htrA	nagBACD	araJ	nupG	dmsABC	fur	yhfA	sdhCDAB_b0725_sucABCD	fucPIKUR	mopB	mglBAC	malK_lamB_malM	pspABCDE	fecIR	sodA	tnaLAB	deoCABD	fepB	ostA_surA_pdxA	araBAD	speC	marRAB	nfo	soxS	htpG	tonB	ibpAB	ecfABC	cyoABCDE	crp	cyaA	araE	xprB_dsbC_recJ	FruR	ppiA	dnaA	ptsHI_crr	cirA	glgS	acs	yjdHG	ebgAC	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	malI	gntT	cydAB	manXYZ	htpY	ompC	dnaKJ	focA_pflB	dcuB_fumB	uhpT	araC	ansB	fnr	himA	cytR	narK	gntKU	icdA	appY	deoR	malS	fhuACDB	frdABCD	ecfD	malEFG	narL	ivbL_ilvBN
ecfH	rpoD	ecfG	lpxDA_fabZ	ecfK	fkpA	uppS_cdsA_ecfE	ecfABC	cirA	grpE	htpG	hflB	clpP	mopB	soxS	fecIR	malK_lamB_malM	mglBAC	sodA	tnaLAB	caiF	deoCABD	fepB	glgS	fucPIKUR	acs	ebgAC	araC	ansB	fnr	htrA	araJ	srlAEBD_gutM_srlR_gutQ	yhfA	rpoH	mopA	rpoE_rseABC	ibpAB	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
lon	nrfABCDEFG	narK	mopA	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	rpoH	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	fur	htpG	ppiA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	dnaA	gntKU	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	caiF	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	icdA	tsx	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	ivbL_ilvBN
lpxDA_fabZ	rpoD	ecfK	rpoE_rseABC	ecfH	fkpA	uppS_cdsA_ecfE	ecfG	icdA	sodA	deoCABD	mopB	mglBAC	malK_lamB_malM	fecIR	tnaLAB	caiF	fepB	glgS	srlAEBD_gutM_srlR_gutQ	htrA	acs	ebgAC	araC	ansB	fnr	himA	fucPIKUR	nupG	yhfA	fur	rpoH	mopA	htpG	ibpAB	ecfABC	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	cytR	ivbL_ilvBN	gntKU	uhpT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	cydAB	gntT	tsx	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
lpxDA_fabZ	rpoD	ecfK	rpoE_rseABC	fkpA	uppS_cdsA_ecfE	ecfG	ecfABC	cirA	htpG	hflB	grpE	clpP	mopB	soxS	sodA	malK_lamB_malM	fecIR	mglBAC	tnaLAB	caiF	deoCABD	fepB	glgS	fucPIKUR	acs	ebgAC	araC	ansB	fnr	htrA	araJ	srlAEBD_gutM_srlR_gutQ	yhfA	rpoH	mopA	ibpAB	ecfH	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
ecfH	rpoD	ecfG	lpxDA_fabZ	ecfK	rpoE_rseABC	uppS_cdsA_ecfE	ecfABC	cirA	grpE	htpG	hflB	clpP	mopB	soxS	fecIR	malK_lamB_malM	mglBAC	sodA	tnaLAB	caiF	deoCABD	fepB	glgS	fucPIKUR	acs	ebgAC	araC	ansB	fnr	htrA	araJ	srlAEBD_gutM_srlR_gutQ	yhfA	rpoH	mopA	ibpAB	fkpA	crp	araE	xprB_dsbC_recJ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
malT	gntT	ebgAC	mglBAC	araBAD	glgS	speC	malEFG	ivbL_ilvBN	yhfA	fucPIKUR	malK_lamB_malM	fucAO	gntKU	uhpT	malS	melAB	cyaA	tsx	mopB	araC	srlAEBD_gutM_srlR_gutQ	sodA	acs	fecIR	fepB	deoCABD	uppS_cdsA_ecfE	tnaLAB	htrA	nupG	fur	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	ecfK	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	fnr	ansB	caiF	himA	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	cytR	nrfABCDEFG	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
fecIR	caiF	deoCABD	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	sodA	tnaLAB	fepB	uhpT	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	fur	ecfK	nupG	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
